Town,District,Province,Latitude,Longitude,Date,Year,Total Deaths
"Darazinda village, 25 miles northeast of Miram Shah",North Waziristan,FATA,33.070827,69.701385,9/20/2010,2010,9
"Azam Warsak, 6 miles NW of Wana",South Waziristan,FATA,32.344002,69.66568,9/21/2010,2010,7
"Khund, South Waziristan border with Afghanistan",South Waziristan,FATA,32.46806,69.300385,9/21/2010,2010,7
"Datta Khel, 12 miles west of Miram Shah",North Waziristan,FATA,32.987354,69.66774,9/25/2010,2010,4
"Tarmanu Road, 31 miles west of Miram Shah",North Waziristan,FATA,32.979294,69.664307,9/26/2010,2010,5
Lawara Mandi area of Datta Khel,North Waziristan,FATA,32.978718,69.6698,9/26/2010,2010,4
Sherani area of Datta Khel,North Waziristan,FATA,32.987354,69.66774,9/26/2010,2010,4
"Khush Hali, southeast of Miram Shah",North Waziristan,FATA,32.98505,70.014153,9/27/2010,2010,4
"Zeba village, west of Wana",South Waziristan,FATA,32.472694,69.274979,9/28/2010,2010,4
"Inzarkas village, Datta Khel",North Waziristan,FATA,32.990234,69.631348,10/02/2010,2010,9
"Asar village, Datta Khel",North Waziristan,FATA,32.98793,69.640961,10/02/2010,2010,10
Mir Ali,North Waziristan,FATA,32.981022,70.256882,10/04/2010,2010,12
Mir Ali,North Waziristan,FATA,32.966042,70.274734,10/06/2010,2010,5
Miram Shah,North Waziristan,FATA,33.012695,70.10788,10/06/2010,2010,6
"Khaisoori town, Mir Ali",North Waziristan,FATA,32.975838,70.261688,10/07/2010,2010,4
"Charkhel, in Datta Khel",North Waziristan,FATA,32.984188,69.696922,10/08/2010,2010,9
"Spin Wam refugee camp, outside Mir Ali",North Waziristan,FATA,32.99081,70.304604,10/10/2010,2010,8
"Inzarkas village, Datta Khel",North Waziristan,FATA,32.992538,69.654007,10/13/2010,2010,11
Aziz Khel,North Waziristan,FATA,32.970654,70.293961,10/15/2010,2010,6
"Machi Khel, near Mir Ali",North Waziristan,FATA,32.97987,70.232849,10/15/2010,2010,5
Sanzali area of Datta Khel,North Waziristan,FATA,32.976414,69.733658,10/18/2010,2010,7
Deegan area of Datta Khel,North Waziristan,FATA,32.997147,69.697952,10/27/2010,2010,4
"Spin Wam, near Mir Ali",North Waziristan,FATA,32.986778,70.315247,10/27/2010,2010,5
"Ismail Khel, in Datta Khel",North Waziristan,FATA,32.994843,69.726791,10/28/2010,2010,11
"Hyder Khel, near Mir Ali",North Waziristan,FATA,32.97382,70.312157,11/01/2010,2010,6
"Qutub Khel, near Miram Shah",North Waziristan,FATA,33.021332,70.013123,11/03/2010,2010,5
"Pai Khel village, in Datta Khel",North Waziristan,FATA,32.97987,69.643707,11/03/2010,2010,4
"Khaso Khel village, near Mir Ali",North Waziristan,FATA,32.962009,70.333786,11/03/2010,2010,4
"Moizer town, Datta Khel",North Waziristan,FATA,32.98217,69.627914,11/07/2010,2010,6
"Ghulam Khan, north of Miram Shah",North Waziristan,FATA,33.05817,70.080414,11/07/2010,2010,9
"Gulli Khel village, Ghulam Khan, 8 miles from Miram Shah",North Waziristan,FATA,33.027664,69.741898,11/11/2010,2010,7
"Ahmad Khel, 15 miles west of Miram Shah",North Waziristan,FATA,33.006935,69.820518,11/13/2010,2010,4
"Ghulam Khan, 20 km north of Miram Shah",North Waziristan,FATA,33.106499,70.053635,11/16/2010,2010,20
"Naurak, near Marsi Khel village, nine miles east of Miram Shah",North Waziristan,FATA,32.985626,70.342026,11/19/2010,2010,4
"Khaddi, 10 miles east of Miram Shah",North Waziristan,FATA,32.962585,70.276794,11/21/2010,2010,9
"Khushali, 15 miles east of Miram Shah",North Waziristan,FATA,32.97094,70.349403,11/22/2010,2010,6
"Pir Keley, six miles east of Miram Shah",North Waziristan,FATA,32.993114,70.196457,11/26/2010,2010,4
"Hasan Khel, 30 km east of Miram Shah",North Waziristan,FATA,32.984474,70.377045,11/28/2010,2010,4
"Khysore village, 20 miles east of Miram Shah",North Waziristan,FATA,32.983322,70.405884,12/06/2010,2010,7
"Khadar Khel, near Mir Ali",North Waziristan,FATA,32.972958,70.400391,12/10/2010,2010,4
"Spalga, nine miles south of Miram Shah",North Waziristan,FATA,33.033997,70.19989,12/14/2010,2010,4
Spin Drand area of the Tirah Valley,Khyber,Khyber Pakhtunkhwa,33.804256,70.736847,12/16/2010,2010,7
"Sippah village, near Spin Drand in the Tirah Valley",Khyber,Khyber Pakhtunkhwa,33.795128,70.768433,12/17/2010,2010,32
"Sandana, Tirah Valley",Khyber,Khyber Pakhtunkhwa,33.790562,70.823364,12/17/2010,2010,7
"Narai Baba, Tirah valley",Khyber,Khyber Pakhtunkhwa,33.756313,70.7547,12/17/2010,2010,15
"Shera Tala area, near Mir Ali",North Waziristan,FATA,32.957977,70.379791,12/27/2010,2010,21
"Machikhel, Mir Ali",North Waziristan,FATA,33.0291,70.2468,12/27/2010,2010,6
"Nawab village, in Ghulam Khan area",North Waziristan,FATA,33.016724,69.906006,12/28/2010,2010,10
"Ghulam Khan, 20 km north of Miram Shah",North Waziristan,FATA,33.029388,69.916992,12/28/2010,2010,8
"Ghulam Khan, 15km NW of Miram Shah",North Waziristan,FATA,33.037449,69.906006,12/31/2010,2010,8
"Mandi Khel, near Mir Ali",North Waziristan,FATA,33.02824,70.239716,01/01/2011,2011,9
"Ghoresti, near Mir Ali",North Waziristan,FATA,33.02824,70.236969,01/01/2011,2011,5
Boya village in Datta Khel,North Waziristan,FATA,32.957977,69.918365,01/01/2011,2011,4
"Ghar Laley, 22 miles west of Miram Shah",North Waziristan,FATA,32.997147,69.749451,01/07/2011,2011,5
"Haiderkhel, 15 miles east of Miram Shah",North Waziristan,FATA,33.009815,70.366058,01/12/2011,2011,4
"Asar village, 25 miles west of Miram Shah, Datta Khel",North Waziristan,FATA,33.004059,69.603882,1/18/2011,2011,5
"Doga Mada Khel, near Datta Khel",North Waziristan,FATA,32.994843,69.627228,1/23/2011,2011,4
"Doga Mada Khel, near Datta Khel",North Waziristan,FATA,32.99369,69.624481,1/23/2011,2011,3
"Mando Khel, 60km south of Miram Shah near Razmak",North Waziristan,FATA,32.691399,69.846954,1/23/2011,2011,6
"Kaza Panga village, 10 miles west of Wana",South Waziristan,FATA,32.313831,69.422607,2/20/2011,2011,8
"Spalga village, 12 miles south of Miram Shah",North Waziristan,FATA,33.040901,70.19989,2/21/2011,2011,8
"Mohammed Khel, in Danday Darpa Khel",North Waziristan,FATA,32.976414,69.643707,2/24/2011,2011,5
Ismailkhel,North Waziristan,FATA,32.968,69.69,03/08/2011,2011,5
"Landidog, 12 miles west of Wama",South Waziristan,FATA,32.314991,69.447327,03/08/2011,2011,5
"Spinwam village, Khaisor, 30 miles north of Miram Shah",North Waziristan,FATA,33.094994,70.276794,03/11/2011,2011,6
Ghorski,North Waziristan,FATA,33.1347,70.1649,03/11/2011,2011,10
"Azam Warsak, 12 miles west of Wana",South Waziristan,FATA,32.308025,69.43222,3/13/2011,2011,4
"Spalga village, 15km NE of Miram Shah",North Waziristan,FATA,33.050114,70.201263,3/13/2011,2011,6
"Malik Jashdar, 6 miles east of Miram Shah",North Waziristan,FATA,32.999451,70.3125,3/14/2011,2011,6
"Datta Khel, 15 miles west of Miram Shah",North Waziristan,FATA,33.001755,69.781036,3/16/2011,2011,6
"Datta Khel, 15 miles west of Miram Shah",North Waziristan,FATA,32.98793,69.763184,3/17/2011,2011,45
"Angoor Adda, Bhangar area",South Waziristan,FATA,32.512077,69.296265,4/13/2011,2011,6
"Spinwam village, Mir Ali",North Waziristan,FATA,33.091541,70.274734,4/22/2011,2011,29
Datta Khel,North Waziristan,FATA,33.012695,69.761124,05/06/2011,2011,18
"Baghar area, near Angoor Adda",South Waziristan,FATA,32.506866,69.300385,05/10/2011,2011,5
Datta Khel,North Waziristan,FATA,32.986778,69.697266,05/12/2011,2011,8
"Doga Madakhel, 40km west of Miram Shah, in Datta Khel",North Waziristan,FATA,33.007511,69.6698,5/13/2011,2011,5
Mir Ali,North Waziristan,FATA,32.996571,70.351639,5/16/2011,2011,6
Mir Ali,North Waziristan,FATA,32.995419,70.350266,5/16/2011,2011,6
"Tappi area, 10km east of Miram Shah",North Waziristan,FATA,33.009525,70.185814,5/20/2011,2011,6
"Machikhel, Mir Ali",North Waziristan,FATA,32.992538,70.221863,5/23/2011,2011,7
"Laman, in Ghwa Khwa and Karikot area, 20km south of Wana",South Waziristan,FATA,32.168636,69.576416,06/03/2011,2011,12
"Bray Nishtar, 30 miles from Wacha Dana, near North Waziristan border",South Waziristan,FATA,32.826519,69.587402,06/06/2011,2011,5
"Wana, South Waziristan",South Waziristan,FATA,32.346901,69.498138,06/06/2011,2011,23
Zawal Narai area of Shawal Tehsil,North Waziristan,FATA,32.932625,69.623108,06/08/2011,2011,23
Zawal Narai area of Shawal Tehsil,North Waziristan,FATA,32.9313,69.6248,06/08/2011,2011,4
Wana,South Waziristan,FATA,32.306866,69.56543,6/15/2011,2011,10
"Tapi, 10 km east of Miram Shah",North Waziristan,FATA,33.010967,70.180664,6/15/2011,2011,6
Khardand,Kurram,FATA,33.527657,70.285034,6/20/2011,2011,13
Mantoi,South Waziristan,FATA,32.708733,69.559937,6/27/2011,2011,21
Bray Nishtar,South Waziristan,FATA,32.6272,69.4453,6/27/2011,2011,12
Mir Ali,North Waziristan,FATA,33.006935,70.239716,07/05/2011,2011,4
"Gorwick, Datta Khel Town, 45 km west of Miram Shah",North Waziristan,FATA,32.9052,69.7488,07/11/2011,2011,25
"Malik Shahi village, Dremala/Bermal Tehsil, Shawal, near the border with North Waziristan and Paktika,",South Waziristan,FATA,32.6238,69.4968,07/12/2011,2011,13
"Bray Nishtar, Shawal area",North Waziristan,FATA,32.6138,69.5082,07/12/2011,2011,15
"Bray Nishtar, Shawal area",North Waziristan,FATA,32.6126,69.5078,07/12/2011,2011,8
Neway Adda Village,North Waziristan,FATA,32.9052,69.7488,07/12/2011,2011,1
"Azam Warsak, 12 miles west of Wana",South Waziristan,FATA,32.311508,69.418488,08/01/2011,2011,6
Miram Shah,North Waziristan,FATA,33.009815,70.098267,08/02/2011,2011,4
Miram Shah,North Waziristan,FATA,33.002907,70.094147,08/10/2011,2011,23
Miram Shah,North Waziristan,FATA,33.006359,70.067368,8/16/2011,2011,4
Shin Warsak,South Waziristan,FATA,32.280746,69.519424,8/19/2011,2011,4
"Norak, near Mir Ali",North Waziristan,FATA,32.963451,70.31044,8/22/2011,2011,11
"Hisokhel, near Mir Ali",North Waziristan,FATA,32.972382,70.289841,09/11/2011,2011,5
"Khushali area, near Mir Ali",North Waziristan,FATA,33.021332,70.305634,9/23/2011,2011,6
"Azam Warsak, 12 miles west of Wana",South Waziristan,FATA,32.327759,69.43634,9/27/2011,2011,4
